代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
113654,永02转债,124.686,603901,永创智能,6.105,1.801,2023-02-10,2026-05-07,2028-08-04,9.77,130,12.701,12.21,101.159,8/15 | 30,如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含 130%）,已公告强赎
123256,恒帅转债,186.199,300969,恒帅股份,3.28,1.633,2025-12-05,2026-05-07,2031-05-29,62.55,130,81.315,116.67,100.191,23/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含130%）,已公告强赎
113618,美诺转债,280.303,603538,美诺华,5.2,0.964,2021-07-20,2026-04-29,2027-01-14,21.28,130,27.664,60.12,100.625,26/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交 易日的收盘价格不低于当期转股价格的 130%(含 130%),已公告强赎
128141,旺能转债,127.59,002034,旺能环境,14.0,5.151,2021-06-23,2026-05-14,2026-12-17,13.98,130,18.174,17.86,100.844,12/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),已公告强赎
123236,家联转债,151.67,301193,家联科技,7.5,2.571,2024-06-28,2026-05-22,2029-12-22,15.33,130,19.929,23.4,100.344,21/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已公告强赎
123129,锦鸡转债,134.145,300798,锦鸡股份,6.0,1.442,2022-05-10,2026-04-30,2027-11-04,7.92,120,9.504,10.68,101.18,24/20 | 30,如果公司 A 股股票连续三十个交易日中至少有二十个交易日的收盘价不低于当期转股价格的 120%(含 120%),已公告强赎
123085,万顺转2,180.064,300057,万顺新材,9.0,2.112,2021-06-17,2026-05-12,2026-12-11,4.99,130,6.487,9.01,100.87,21/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%(含130%),已公告强赎
118003,华兴转债,224.945,688001,华兴源创,8.0,4.063,2022-06-06,,2027-11-29,26.22,130,34.086,58.86,,17/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%(含 130%),公告要强赎
118004,博瑞转债,172.437,688166,博瑞医药,4.65,3.431,2022-07-11,,2028-01-04,34.74,130,45.162,60.18,,16/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%（含 130%）,公告要强赎
111013,新港转债,133.299,605162,新中港,3.691,2.611,2023-09-14,,2029-03-08,8.67,130,11.271,11.52,,20/15 | 30,如果公司 A 股股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%,公告要强赎
128108,蓝帆转债,108.008,002382,蓝帆医疗,31.44,15.201,2020-12-03,2026-05-22,2026-05-28,7.95,130,10.335,7.52,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-05-22 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易日的 收盘价格不低于当期转股价格的130%(含130%),已公告强赎
127017,万青转债,112.773,000789,万年青,10.0,9.995,2020-12-09,2026-05-28,2026-06-03,8.53,130,11.089,4.96,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-05-28 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),已公告强赎
113584,家悦转债,109.824,603708,家家悦,6.45,6.448,2020-12-14,2026-06-01,2026-06-05,12.45,130,16.185,10.78,,"临近到期 <span style=""color:red;font-weight:bold;"">!</span><br>2026-06-01 最后交易",如果公司股票在任何连续三十个交易日中至少十五个交易 日的收盘价格不低于当期转股价格的 130%(含 130%),已公告强赎
127103,东南转债,158.0,002135,东南网架,20.0,19.999,2024-07-09,,2030-01-03,5.6,130,7.28,7.5,,15/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,已满足强赎条件
123255,鼎龙转债,270.5,300054,鼎龙股份,9.1,9.096,2025-10-09,,2031-04-02,28.48,130,37.024,59.2,,15/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,已满足强赎条件
118056,路维转债,244.282,688401,路维光电,6.15,6.145,2025-12-17,,2031-06-11,32.7,130,42.51,64.2,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的 130%,
111005,富春转债,146.504,605189,富春染织,5.7,5.298,2022-12-29,,2028-06-23,11.98,130,15.574,17.42,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113640,苏利转债,136.247,603585,苏利股份,9.572,7.39,2022-08-22,,2028-02-16,17.2,130,22.36,19.42,,14/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）。,
127024,盈峰转债,191.0,000967,盈峰环境,14.762,9.047,2021-05-10,,2026-11-04,7.67,130,9.971,14.18,,13/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123187,超达转债,203.5,301186,超达装备,4.69,2.273,2023-10-11,,2029-04-04,30.98,130,40.274,63.23,,13/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含）,
113048,晶科转债,155.102,601778,晶科科技,30.0,15.872,2021-10-29,,2027-04-23,4.5,130,5.85,7.12,,12/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123241,欧通转债,880.53,300870,欧陆通,6.445,2.605,2025-01-13,,2030-07-05,43.43,130,56.459,378.41,,11/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
127109,电化转债,148.781,002125,湘潭电化,4.87,4.867,2025-12-22,,2031-06-16,10.1,130,13.13,14.16,,11/15 | 30,当公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123054,思特转债,136.97,300608,思特奇,2.71,1.667,2020-12-16,,2026-06-10,9.88,130,12.844,13.28,,11/15 | 30,如果公司股票连续三十个交 易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
127047,帝欧转债,146.998,002798,帝欧水华,15.0,5.865,2022-04-29,,2027-10-25,5.1,130,6.63,7.59,,10/15 | 30,如果公司股票连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
