date,open,high,low,close,volume
2020-12-02,127.21,127.21,122.12,124.0,14170321
2020-12-03,123.0,123.23,121.111,121.251,5886328
2020-12-04,121.11,121.82,120.01,121.2,4013868
2020-12-07,121.12,121.517,120.015,120.219,4777089
2020-12-08,120.2,120.888,120.059,120.4,3997700
2020-12-09,120.4,122.4,120.1,120.2,7055791
2020-12-10,120.2,120.55,116.0,119.954,1523531
2020-12-11,119.954,120.0,118.81,118.835,3063078
2020-12-14,118.7,119.452,117.2,118.5,1313866
2020-12-15,117.7,121.019,117.662,119.213,1678019
2020-12-16,121.5,122.435,119.85,121.025,1914324
2020-12-17,120.5,122.4,120.451,122.4,891286
2020-12-18,122.8,122.9,121.607,122.001,603475
2020-12-21,121.988,123.3,121.011,123.17,711633
2020-12-22,122.9,125.38,121.902,122.671,663601
2020-12-23,122.671,127.21,122.671,125.64,2130652
2020-12-24,126.0,127.27,125.001,125.659,894375
2020-12-25,126.489,127.45,125.661,126.82,952783
2020-12-28,126.82,127.5,124.5,126.0,812536
2020-12-29,127.0,127.5,124.501,124.85,335550
2020-12-30,124.845,126.86,123.62,126.8,476434
2020-12-31,125.361,127.61,125.361,127.19,502219
2021-01-04,127.0,127.6,125.1,125.3,1069288
2021-01-05,125.3,130.2,125.3,130.03,1878475
2021-01-06,131.0,132.85,129.3,130.11,949712
2021-01-07,131.052,133.774,129.285,131.709,1399056
2021-01-08,134.001,137.33,130.297,133.3,1520706
2021-01-11,134.598,135.428,132.18,132.896,1175321
2021-01-12,132.999,134.26,130.05,133.55,854407
2021-01-13,133.55,137.0,133.188,135.8,1668888
2021-01-14,136.98,137.977,133.0,134.49,1099477
2021-01-15,134.43,136.59,131.125,131.4,836862
2021-01-18,130.9,132.877,129.297,131.1,1183895
2021-01-19,130.6,131.9,129.518,130.559,627850
2021-01-20,130.21,131.18,129.513,130.196,619511
2021-01-21,130.59,135.39,130.32,132.4,1288308
2021-01-22,134.0,135.88,131.4,133.0,803640
2021-01-25,128.5,132.0,127.3,131.011,2003821
2021-01-26,131.0,131.996,127.499,128.0,960260
2021-01-27,128.0,129.377,126.5,127.27,1248857
2021-01-28,127.35,127.356,123.16,124.62,956210
2021-01-29,126.0,127.43,122.18,124.901,1469607
2021-02-01,125.0,125.97,123.5,123.5,593984
2021-02-02,125.2,125.97,122.603,125.97,659471
2021-02-03,125.58,126.72,122.6,122.79,362571
2021-02-04,122.99,122.99,116.2,118.729,1737881
2021-02-05,118.83,121.0,118.771,118.8,856041
2021-02-08,119.0,120.31,114.95,117.299,1398843
2021-02-09,116.5,122.9,115.8,121.0,1203444
2021-02-10,121.0,126.359,121.0,123.2,2108670
2021-02-18,125.0,125.13,121.0,121.599,527940
2021-02-19,122.0,122.0,119.4,120.95,690765
2021-02-22,121.09,122.48,118.91,121.0,598038
2021-02-23,121.0,122.799,120.777,121.0,671840
2021-02-24,121.09,121.49,117.5,119.8,658862
2021-02-25,119.998,120.2,118.109,118.8,415753
2021-02-26,117.8,119.4,117.3,118.9,441729
2021-03-01,119.9,122.655,119.5,121.0,998549
2021-03-02,121.835,122.88,119.712,120.258,952505
2021-03-03,119.784,121.299,118.495,120.11,390666
2021-03-04,120.111,120.296,118.201,118.799,512084
2021-03-05,118.798,119.809,117.44,119.0,496555
2021-03-08,119.805,120.198,115.6,116.46,533193
2021-03-09,117.0,118.985,114.7,117.161,550611
2021-03-10,118.2,119.8,117.2,117.35,339581
2021-03-11,117.0,118.0,115.702,116.5,809263
