time,binance,okx,spread_bps,elapsed_s,signal
21:51:23,76704.04,76708.3,-0.6,0.27,
21:51:26,76710.68,76708.4,0.3,0.17,
21:51:29,76717.69,76721.8,-0.5,0.15,
21:51:32,76710.67,76708.8,0.2,0.27,
21:51:54,76793.2,76798.3,-0.7,0.16,
21:51:57,76786.63,76791.6,-0.6,0.18,
21:52:00,76775.97,76779.6,-0.5,0.15,
21:52:03,76773.89,76776.2,-0.3,0.28,
21:52:06,76773.89,76776.1,-0.3,0.21,
22:20:39,76658.98,76666.2,-0.9,0.18,
22:20:44,76658.98,76665.5,-0.9,0.85,
22:20:49,76648.83,76648.7,0.0,0.41,
22:20:54,76635.3,76635.0,0.0,0.33,
22:20:59,76622.74,76622.0,0.1,0.15,
22:21:04,76608.31,76615.5,-0.9,0.27,
22:21:09,76596.55,76601.0,-0.6,0.18,
22:21:14,76582.48,76580.9,0.2,0.15,
22:21:19,76565.47,76563.4,0.3,0.18,
22:21:24,76573.9,76579.3,-0.7,0.14,
22:21:29,76604.26,76609.9,-0.7,0.26,
22:21:34,76614.74,76613.8,0.1,0.2,
22:21:39,76590.7,76613.7,-3.0,0.15,SIGNAL
22:21:44,76598.37,76605.7,-1.0,0.15,
22:21:49,76598.36,76605.6,-0.9,0.17,
22:21:54,76595.99,76598.4,-0.3,0.17,
22:22:00,76598.37,76598.4,-0.0,1.7,
22:22:04,76598.36,76604.7,-0.8,0.18,
22:22:09,76611.83,76611.6,0.0,0.3,
22:22:14,76606.41,76607.4,-0.1,0.14,
22:22:19,76606.42,76609.6,-0.4,0.19,
22:22:24,76614.74,76620.8,-0.8,0.18,
22:22:29,76614.74,76616.2,-0.2,0.16,
22:22:34,76614.75,76613.8,0.1,0.31,
22:23:59,76633.33,76631.0,0.3,0.19,
22:24:30,76616.87,76617.7,-0.1,0.71,
22:25:00,76673.19,76678.6,-0.7,0.86,
22:25:30,76700.24,76695.2,0.7,0.7,
22:25:59,76686.21,76688.5,-0.3,0.16,
22:26:29,76740.58,76737.2,0.4,0.18,
06:43:30,75930.22,75935.4,-0.7,0.14,
06:44:00,75940.15,75945.1,-0.7,0.13,
06:44:43,75952.7,75955.1,-0.3,0.18,
06:45:00,75962.86,75965.2,-0.3,0.14,
06:45:30,75942.52,75945.6,-0.4,0.14,
06:46:00,75942.52,75945.4,-0.4,0.12,
06:46:30,75963.33,75964.3,-0.1,0.13,
06:47:00,75970.64,75966.8,0.5,0.13,
06:47:30,75960.7,75957.0,0.5,0.12,
06:48:00,75951.82,75952.5,-0.1,0.13,
06:48:30,75942.97,75938.6,0.6,0.13,
06:49:00,75939.45,75938.6,0.1,0.13,
06:49:30,75927.34,75937.9,-1.4,0.14,
06:50:00,75915.28,75913.4,0.2,0.13,
06:50:53,75891.29,75895.9,-0.6,0.23,
06:51:00,75891.29,75896.0,-0.6,0.12,
06:52:30,75928.35,75935.5,-0.9,0.17,
06:53:00,75943.89,75947.0,-0.4,0.12,
06:53:30,75929.86,75936.3,-0.8,0.13,
06:54:00,75940.57,75950.5,-1.3,0.12,
06:54:30,75948.97,75950.5,-0.2,0.12,
06:55:00,75947.77,75948.8,-0.1,0.46,
06:55:30,75950.77,75958.9,-1.1,0.18,
06:56:00,75957.19,75965.4,-1.1,0.22,
06:56:30,75949.3,75952.5,-0.4,0.13,
06:57:00,75965.72,75966.9,-0.2,0.13,
06:57:30,75963.62,75972.6,-1.2,0.13,
06:58:00,75951.3,75947.9,0.4,0.13,
06:58:30,75936.7,75937.1,-0.1,0.12,
06:59:00,75936.69,75938.0,-0.2,0.23,
06:59:30,75931.1,75936.1,-0.7,0.14,
07:00:00,75927.38,75925.0,0.3,0.14,
07:00:30,75936.7,75946.7,-1.3,0.12,
07:01:00,75932.79,75938.7,-0.8,0.12,
