time,symbol,binance,okx,spread_bps,elapsed
21:09:51,BTC,76329.99,76318.00,1.6,0
21:10:14,BTC,76317.88,76317.90,-0.0,0
21:10:14,ETH,2266.86,2267.00,-0.6,0
21:10:14,WIF,0.18,0.18,-38.5,0
21:10:29,BTC,76304.01,76289.90,1.8,15
21:10:29,ETH,2265.88,2266.24,-1.6,15
21:10:29,WIF,0.18,0.18,-38.5,15
21:10:44,BTC,76287.61,76275.50,1.6,30
21:10:44,ETH,2265.44,2265.51,-0.3,30
21:10:44,WIF,0.18,0.18,-38.5,30
21:10:59,BTC,76276.38,76269.90,0.8,45
21:10:59,ETH,2264.94,2265.01,-0.3,45
21:10:59,WIF,0.18,0.18,-27.5,45
21:11:14,BTC,76284.03,76269.70,1.9,60
21:11:14,ETH,2263.94,2263.91,0.1,60
21:11:14,WIF,0.18,0.18,-27.5,60
21:11:29,BTC,76275.51,76266.50,1.2,75
21:11:29,ETH,2263.14,2263.34,-0.9,75
21:11:29,WIF,0.18,0.18,-33.0,75
21:11:44,BTC,76271.96,76266.50,0.7,90
21:11:44,ETH,2263.25,2263.33,-0.4,90
21:11:44,WIF,0.18,0.18,22.0,90
21:11:59,BTC,76284.78,76280.20,0.6,105
21:11:59,ETH,2263.52,2263.81,-1.3,105
21:11:59,WIF,0.18,0.18,22.0,105
21:12:14,BTC,76279.93,76266.70,1.7,120
21:12:14,ETH,2263.00,2263.19,-0.8,120
21:12:14,WIF,0.18,0.18,-33.0,120
21:12:29,BTC,76279.93,76274.50,0.7,135
21:12:29,ETH,2263.17,2263.47,-1.3,135
21:12:29,WIF,0.18,0.18,-33.0,135
21:12:44,BTC,76299.08,76292.10,0.9,150
21:12:44,ETH,2263.68,2263.94,-1.1,150
21:12:44,WIF,0.18,0.18,-33.0,150
21:12:59,BTC,76299.08,76292.00,0.9,165
21:12:59,ETH,2263.70,2263.90,-0.9,165
21:12:59,WIF,0.18,0.18,-27.5,165
21:13:14,BTC,76305.51,76298.90,0.9,180
21:13:14,ETH,2263.64,2263.91,-1.2,180
21:13:14,WIF,0.18,0.18,27.5,180
21:13:29,BTC,76305.51,76297.30,1.1,195
21:13:29,ETH,2263.54,2263.59,-0.2,195
21:13:29,WIF,0.18,0.18,27.5,195
21:13:44,BTC,76305.51,76290.80,1.9,210
21:13:44,ETH,2263.59,2263.59,0.0,210
21:13:44,WIF,0.18,0.18,27.5,210
21:13:59,BTC,76305.51,76298.80,0.9,225
21:13:59,ETH,2263.65,2263.81,-0.7,225
21:13:59,WIF,0.18,0.18,27.5,225
21:14:14,BTC,76319.99,76315.50,0.6,240
21:14:14,ETH,2264.03,2264.29,-1.1,240
21:14:14,WIF,0.18,0.18,27.5,240
21:14:29,BTC,76313.38,76297.80,2.0,255
21:14:29,ETH,2263.63,2263.68,-0.2,255
21:14:29,WIF,0.18,0.18,27.5,255
21:14:44,BTC,76313.39,76304.80,1.1,270
21:14:44,ETH,2263.59,2263.67,-0.4,270
21:14:44,WIF,0.18,0.18,16.5,270
21:14:59,BTC,76315.81,76309.80,0.8,285
21:14:59,ETH,2263.68,2263.84,-0.7,285
21:14:59,WIF,0.18,0.18,-38.5,285
21:15:14,BTC,76315.80,76305.30,1.4,300
21:15:14,ETH,2263.60,2263.78,-0.8,300
21:15:14,WIF,0.18,0.18,-38.5,300
21:15:29,BTC,76327.14,76319.30,1.0,315
21:15:29,ETH,2264.02,2264.03,-0.0,315
21:15:29,WIF,0.18,0.18,-16.5,315
21:15:44,BTC,76315.83,76305.60,1.3,330
21:15:44,ETH,2263.33,2263.78,-2.0,330
21:15:44,WIF,0.18,0.18,-21.9,330
21:15:59,BTC,76315.83,76312.80,0.4,345
21:15:59,ETH,2263.65,2263.77,-0.5,345
21:15:59,WIF,0.18,0.18,-21.9,345
21:16:14,BTC,76323.46,76319.20,0.6,360
21:16:14,ETH,2263.79,2264.02,-1.0,360
21:16:14,WIF,0.18,0.18,-21.9,360
21:16:29,BTC,76328.67,76322.50,0.8,375
21:16:29,ETH,2263.79,2264.15,-1.6,375
21:16:29,WIF,0.18,0.18,-16.5,375
21:16:44,BTC,76310.00,76297.30,1.7,390
21:16:44,ETH,2263.64,2263.79,-0.7,390
21:16:44,WIF,0.18,0.18,-32.9,390
21:16:59,BTC,76310.00,76300.90,1.2,405
21:16:59,ETH,2263.65,2263.79,-0.6,405
21:16:59,WIF,0.18,0.18,-16.5,405
21:17:14,BTC,76310.01,76307.50,0.3,420
21:17:14,ETH,2263.42,2263.72,-1.3,420
21:17:14,WIF,0.18,0.18,-16.5,420
21:17:29,BTC,76310.01,76307.40,0.3,435
21:17:29,ETH,2263.27,2263.46,-0.8,435
21:17:29,WIF,0.18,0.18,-16.5,435
21:17:44,BTC,76325.29,76329.00,-0.5,450
21:17:44,ETH,2264.01,2264.38,-1.6,450
21:17:44,WIF,0.18,0.18,-16.5,450
21:17:59,BTC,76330.10,76315.60,1.9,465
21:17:59,ETH,2263.73,2263.71,0.1,465
21:17:59,WIF,0.18,0.18,-21.9,465
21:18:14,BTC,76336.95,76329.30,1.0,480
21:18:14,ETH,2264.11,2264.18,-0.3,480
21:18:14,WIF,0.18,0.18,32.9,480
21:18:29,BTC,76336.95,76329.30,1.0,495
21:18:29,ETH,2264.11,2264.48,-1.6,495
21:18:29,WIF,0.18,0.18,32.9,495
21:18:44,BTC,76347.63,76339.90,1.0,510
21:18:44,ETH,2264.73,2264.92,-0.8,510
21:18:44,WIF,0.18,0.18,32.9,510
21:18:59,BTC,76339.39,76332.40,0.9,525
21:18:59,ETH,2264.39,2264.44,-0.2,525
21:18:59,WIF,0.18,0.18,-21.9,525
21:19:14,BTC,76325.63,76316.90,1.1,540
21:19:14,ETH,2263.92,2264.00,-0.4,540
21:19:14,WIF,0.18,0.18,-21.9,540
21:19:29,BTC,76319.75,76313.10,0.9,555
21:19:29,ETH,2263.93,2264.01,-0.4,555
21:19:29,WIF,0.18,0.18,-21.9,555
21:19:44,BTC,76315.28,76309.90,0.7,570
21:19:44,ETH,2263.60,2263.68,-0.4,570
21:19:44,WIF,0.18,0.18,-21.9,570
21:19:59,BTC,76315.27,76315.10,0.0,585
21:19:59,ETH,2263.77,2263.91,-0.6,585
21:19:59,WIF,0.18,0.18,32.9,585
21:20:14,BTC,76315.27,76314.60,0.1,600
21:20:14,ETH,2263.71,2263.87,-0.7,600
21:20:14,WIF,0.18,0.18,10.9,600
21:20:29,BTC,76321.36,76315.70,0.7,615
21:20:29,ETH,2263.88,2263.92,-0.2,615
21:20:29,WIF,0.18,0.18,10.9,615
21:20:44,BTC,76321.36,76318.20,0.4,630
21:20:44,ETH,2264.06,2264.27,-0.9,630
21:20:44,WIF,0.18,0.18,10.9,630
21:20:59,BTC,76321.35,76318.20,0.4,645
21:20:59,ETH,2264.22,2264.35,-0.6,645
21:20:59,WIF,0.18,0.18,-16.4,645
21:21:14,BTC,76321.35,76305.10,2.1,660
21:21:14,ETH,2264.10,2264.27,-0.8,660
21:21:14,WIF,0.18,0.18,-5.5,660
21:21:29,BTC,76300.40,76294.10,0.8,675
21:21:29,ETH,2263.14,2263.21,-0.3,675
21:21:29,WIF,0.18,0.18,-5.5,675
21:21:44,BTC,76300.40,76293.60,0.9,690
21:21:44,ETH,2263.50,2263.49,0.0,690
21:21:44,WIF,0.18,0.18,-5.5,690
21:21:59,BTC,76311.57,76309.00,0.3,705
21:21:59,ETH,2263.99,2263.97,0.1,705
21:21:59,WIF,0.18,0.18,5.5,705
21:22:14,BTC,76323.58,76321.50,0.3,720
21:22:14,ETH,2264.49,2264.74,-1.1,720
21:22:14,WIF,0.18,0.18,5.5,720
21:22:29,BTC,76331.21,76326.70,0.6,735
21:22:29,ETH,2264.66,2264.74,-0.4,735
